,total_visitors,total_returns,total_new,Temperature,from_11201,avg_visits_per_hour,avg_returns_per_hour,avg_new_per_hour,avg_from_11201_per_hour,ratio_11201,day,week,month,year,given_temp,precipitation,cloud_cover,snow,rain
8/24/2017,52,31,21,78.31,29,26,15.5,10.5,14.5,0.557692308,3,34,8,2017,80,0,0.16,0,0
8/26/2017,104,13,91,76.04,15,26,3.25,22.75,3.75,0.144230769,5,34,8,2017,74,0,0.14,0,0
8/27/2017,91,14,77,75.56,17,22.75,3.5,19.25,4.25,0.186813187,6,34,8,2017,77,0,0.13,0,0
8/29/2017,24,14,10,67.74,14,12,7,5,7,0.583333333,1,35,8,2017,66,0.008,0.41,0,1
8/31/2017,54,16,37,79.96,19,27,8,18.5,9.5,0.351851852,3,35,8,2017,82,0.0002,0.21,0,1
9/2/2017,71,39,32,66.2,25,17.75,9.75,8,6.25,0.352112676,5,35,9,2017,66,0.0107,0.23,0,1
9/3/2017,25,15,10,70.08,13,6.25,3.75,2.5,3.25,0.52,6,35,9,2017,66,0.016,0.61,0,1
9/5/2017,52,27,25,83.94,25,26,13.5,12.5,12.5,0.480769231,1,36,9,2017,87,0.0014,0.25,0,1
9/7/2017,33,27,6,71.94,17,16.5,13.5,3,8.5,0.515151515,3,36,9,2017,71,0.0028,0.31,0,1
9/8/2017,77,44,33,70.58,37,38.5,22,16.5,18.5,0.480519481,4,36,9,2017,71,0,0.21,0,0
9/10/2017,117,48,69,72.02,59,29.25,12,17.25,14.75,0.504273504,6,36,9,2017,74,0,0.15,0,0
9/12/2017,25,15,10,79.12,13,12.5,7.5,5,6.5,0.52,1,37,9,2017,80,0,0.11,0,0
9/14/2017,31,19,12,79.5,17,15.5,9.5,6,8.5,0.548387097,3,37,9,2017,80,0.0006,0.41,0,1
9/16/2017,56,44,12,77.9,34,14,11,3,8.5,0.607142857,5,37,9,2017,78,0,0.23,0,0
9/17/2017,59,29,30,77.37,18,14.75,7.25,7.5,4.5,0.305084746,6,37,9,2017,79,0,0.34,0,0
9/19/2017,14,14,0,75.79,12,7,7,0,6,0.857142857,1,38,9,2017,77,0.0064,0.74,0,1
9/21/2017,47,32,15,79.62,27,23.5,16,7.5,13.5,0.574468085,3,38,9,2017,79,0,0.13,0,0
9/23/2017,72,20,52,86.5,12,18,5,13,3,0.166666667,5,38,9,2017,83,0,0.12,0,0
9/24/2017,37,13,24,87.68,10,9.25,3.25,6,2.5,0.27027027,6,38,9,2017,90,0,0.03,0,0
9/26/2017,15,15,0,76.76,10,7.5,7.5,0,5,0.666666667,1,39,9,2017,79,0,0.13,0,0
9/28/2017,11,11,0,76,6,5.5,5.5,0,3,0.545454545,3,39,9,2017,80,0,0.19,0,0
9/30/2017,94,37,57,63.29,18,23.5,9.25,14.25,4.5,0.191489362,5,39,9,2017,63,0.0002,0.43,0,1
10/1/2017,86,53,63,66.83,31,21.5,13.25,15.75,7.75,0.360465116,6,39,10,2017,65,0,0.13,0,0
10/3/2017,11,6,5,67.43,8,5.5,3,2.5,4,0.727272727,1,40,10,2017,68,0,0.16,0,0
10/7/2017,96,30,65,76.97,26,24,7.5,16.25,6.5,0.270833333,5,40,10,2017,77,0,0.21,0,0
10/8/2017,45,20,25,76.51,11,11.25,5,6.25,2.75,0.244444444,6,40,10,2017,76,0.0071,0.5,0,1
10/10/2017,52,15,37,79.8,15,26,7.5,18.5,7.5,0.288461538,1,41,10,2017,81,0,0.16,0,0
10/12/2017,16,11,5,64.58,9,8,5.5,2.5,4.5,0.5625,3,41,10,2017,70,0.0028,0.46,0,1
10/14/2017,39,19,20,70.33,17,9.75,4.75,5,4.25,0.435897436,5,41,10,2017,67,0.002,0.88,0,1
10/15/2017,129,42,83,71.63,50,32.25,10.5,20.75,12.5,0.387596899,6,41,10,2017,72,0,0.76,0,0
10/17/2017,40,20,20,58.67,25,20,10,10,12.5,0.625,1,42,10,2017,58,0,0.05,0,0
10/19/2017,16,14,2,69.95,14,8,7,1,7,0.875,3,42,10,2017,69,0,0.05,0,0
10/21/2017,72,22,50,75.97,23,18,5.5,12.5,5.75,0.319444444,5,42,10,2017,74,0,0.12,0,0
10/22/2017,149,53,98,72.01,49,37.25,13.25,24.5,12.25,0.32885906,6,42,10,2017,75,0,0.12,0,0
10/24/2017,23,21,4,72.07,19,11.5,10.5,2,9.5,0.826086957,1,43,10,2017,70,0.0111,0.57,0,1
10/26/2017,26,20,6,58.94,26,13,10,3,13,1,3,43,10,2017,57,0.0001,0.42,0,1
10/28/2017,47,28,19,66.69,26,11.75,7,4.75,6.5,0.553191489,5,43,10,2017,68,0,0.17,0,0
10/29/2017,5,0,5,66.19,3,1.25,0,1.25,0.75,0.6,6,43,10,2017,62,0.0819,0.92,0,1
10/31/2017,15,9,6,56.29,11,7.5,4.5,3,5.5,0.733333333,1,44,10,2017,58,0,0.13,0,0
11/2/2017,20,11,9,70.45,9,10,5.5,4.5,4.5,0.45,3,44,11,2017,71,0,0.32,0,0
11/4/2017,54,26,28,56.21,27,13.5,6.5,7,6.75,0.5,5,44,11,2017,56,0,0.14,0,0
11/5/2017,50,24,26,61.18,19,12.5,6,6.5,4.75,0.38,6,44,11,2017,61,0.0019,0.91,0,1
11/7/2017,20,19,1,48.44,19,10,9.5,0.5,9.5,0.95,1,45,11,2017,48,0.0219,0.33,0,1
11/9/2017,32,15,17,53.59,18,16,7.5,8.5,9,0.5625,3,45,11,2017,54,0,0.35,0,0
11/11/2017,48,15,33,37.68,19,12,3.75,8.25,4.75,0.395833333,5,45,11,2017,38,0,0.09,0,0
11/12/2017,87,63,24,46.05,62,21.75,15.75,6,15.5,0.712643678,6,45,11,2017,46,0,0.14,0,0
11/14/2017,38,33,5,46.13,32,19,16.5,2.5,16,0.842105263,1,46,11,2017,47,0,0.28,0,0
11/16/2017,25,17,8,56.32,17,12.5,8.5,4,8.5,0.68,3,46,11,2017,53,0.0065,0.44,0,1
11/18/2017,57,37,20,52.45,30,14.25,9.25,5,7.5,0.526315789,5,46,11,2017,50,0.0048,0.26,0,1
11/19/2017,91,42,49,58.14,48,22.75,10.5,12.25,12,0.527472527,6,46,11,2017,51,0.0079,0.47,0,1
11/21/2017,29,27,2,57.38,29,14.5,13.5,1,14.5,1,1,47,11,2017,59,0,0.12,0,0
11/28/2017,26,18,8,51.92,24,13,9,4,12,0.923076923,1,48,11,2017,52,0,0.14,0,0
11/30/2017,26,26,0,50.76,26,13,13,0,13,1,3,48,11,2017,41,0.0002,0.2,0,1
12/2/2017,45,24,21,47.01,26,11.25,6,5.25,6.5,0.577777778,5,48,12,2017,49,0,0.16,0,0
12/3/2017,68,33,35,48.47,25,17,8.25,8.75,6.25,0.367647059,6,48,12,2017,48,0,0.38,0,0
12/5/2017,38,38,0,59.58,36,19,19,0,18,0.947368421,1,49,12,2017,60,0.0128,0.63,0,1
12/7/2017,28,20,8,44.24,28,14,10,4,14,1,3,49,12,2017,45,0,0.2,0,0
12/9/2017,6,0,6,35.77,0,1.5,0,1.5,0,0,5,49,12,2017,32,0.0097,0.83,1,0
12/10/2017,52,25,27,38.99,24,13,6.25,6.75,6,0.461538462,6,49,12,2017,40,0,0.25,0,0
12/12/2017,22,15,7,49.71,20,11,7.5,3.5,10,0.909090909,1,50,12,2017,45,0.0002,0.63,0,1
12/14/2017,13,11,2,31.93,8,6.5,5.5,1,4,0.615384615,3,50,12,2017,33,0.0022,0.34,1,0
12/16/2017,38,16,20,38.83,18,9.5,4,5,4.5,0.473684211,5,50,12,2017,33,0,0.34,0,0
12/17/2017,29,21,8,36.94,13,7.25,5.25,2,3.25,0.448275862,6,50,12,2017,39,0,0.47,0,0
12/19/2017,21,18,3,53.94,21,10.5,9,1.5,10.5,1,1,51,12,2017,55,0,0.35,0,0
12/21/2017,10,1,9,40.11,8,5,0.5,4.5,4,0.8,3,51,12,2017,41,0,0.16,0,0
1/2/2018,20,3,17,25.62,3,10,1.5,8.5,1.5,0.15,1,1,1,2018,28,0,0.13,0,0
1/6/2018,14,0,14,13.95,9,3.5,0,3.5,2.25,0.642857143,5,1,1,2018,16,0.0006,0.1,1,0
1/7/2018,13,7,6,18.25,13,3.25,1.75,1.5,3.25,1,6,1,1,2018,17,0,0.16,0,0
1/9/2018,50,36,14,42.72,41,25,18,7,20.5,0.82,1,2,1,2018,45,0,0.19,0,0
1/11/2018,30,22,8,47.87,30,15,11,4,15,1,3,2,1,2018,48,0,0.4,0,0
1/13/2018,25,10,15,54.98,8,6.25,2.5,3.75,2,0.32,5,2,1,2018,34,0.0036,0.29,0,1
1/14/2018,37,27,10,25.19,23,9.25,6.75,2.5,5.75,0.621621622,6,2,1,2018,25,0,0.1,0,0
1/16/2018,39,33,6,36.27,34,19.5,16.5,3,17,0.871794872,1,3,1,2018,37,0,0.5,0,0
1/18/2018,32,19,13,32.61,23,16,9.5,6.5,11.5,0.71875,3,3,1,2018,33,0,0.06,0,0
1/20/2018,77,33,44,49.87,27,19.25,8.25,11,6.75,0.350649351,5,3,1,2018,51,0,0.12,0,0
1/21/2018,75,41,34,50.63,27,18.75,10.25,8.5,6.75,0.36,6,3,1,2018,49,0,0.21,0,0
1/23/2018,19,17,2,56.38,17,9.5,8.5,1,8.5,0.894736842,1,4,1,2018,55,0.0093,0.51,0,1
1/25/2018,26,20,6,34,18,13,10,3,9,0.692307692,3,4,1,2018,34,0,0.1,0,0
1/27/2018,75,46,29,53.16,44,18.75,11.5,7.25,11,0.586666667,5,4,1,2018,49,0,0.14,0,0
1/28/2018,72,48,24,52.49,30,18,12,6,7.5,0.416666667,6,4,1,2018,49,0.0074,0.55,0,1
1/30/2018,34,32,2,35.15,29,17,16,1,14.5,0.852941176,1,5,1,2018,36,0.0018,0.6,1,0
2/1/2018,20,15,5,42.5,15,10,7.5,2.5,7.5,0.75,3,5,2,2018,42,0.0006,0.35,0,1
2/3/2018,31,15,16,30.07,21,7.75,3.75,4,5.25,0.677419355,5,5,2,2018,26,0,0.16,0,0
2/4/2018,34,26,8,44.33,20,8.5,6.5,2,5,0.588235294,6,5,2,2018,40,0.023,0.71,0,1
2/6/2018,35,32,3,35.91,32,17.5,16,1.5,16,0.914285714,1,6,2,2018,36,0,0.27,0,0
2/8/2018,34,30,4,32.43,32,17,15,2,16,0.941176471,3,6,2,2018,34,0,0.24,0,0
2/10/2018,17,7,10,47.37,8,4.25,1.75,2.5,2,0.470588235,5,6,2,2018,46,0.0149,0.53,0,1
2/11/2018,25,17,8,57.6,16,6.25,4.25,2,4,0.64,6,6,2,2018,49,0.0267,1,0,1
2/13/2018,16,15,1,35.87,16,8,7.5,0.5,8,1,1,7,2,2018,39,0,0.18,0,0
2/15/2018,33,23,10,57.77,31,16.5,11.5,5,15.5,0.939393939,3,7,2,2018,54,0.0046,0.45,0,1
2/17/2018,42,22,20,36.15,27,10.5,5.5,5,6.75,0.642857143,5,7,2,2018,39,0.0158,0.26,1,0
2/18/2018,77,41,36,44.31,33,19.25,10.25,9,8.25,0.428571429,6,7,2,2018,47,0.0012,0.25,0,1
2/24/2018,36,22,14,52.5,24,9,5.5,3.5,6,0.666666667,5,8,2,2018,54,0.0026,0.52,0,1
2/25/2018,58,43,14,43.6,47,14.5,10.75,3.5,11.75,0.810344828,6,8,2,2018,41,0.0298,1,0,1
2/27/2018,26,16,10,53.57,16,13,8,5,8,0.615384615,1,9,2,2018,53,0,0.02,0,0
3/1/2018,25,17,8,57.38,18,12.5,8.5,4,9,0.72,3,9,3,2018,58,0.0079,0.25,0,1
3/3/2018,73,44,29,45.82,35,18.25,11,7.25,8.75,0.479452055,5,9,3,2018,49,0,0.41,0,0
3/4/2018,62,38,24,42.75,42,15.5,9.5,6,10.5,0.677419355,6,9,3,2018,43,0,0.5,0,0
3/6/2018,52,35,17,43.22,43,26,17.5,8.5,21.5,0.826923077,1,10,3,2018,44,0,0.19,0,0
3/8/2018,40,35,5,38.95,38,20,17.5,2.5,19,0.95,3,10,3,2018,38,0,0.36,0,0
3/10/2018,72,51,21,38.33,27,18,12.75,5.25,6.75,0.375,5,10,3,2018,39,0,0.31,0,0
3/11/2018,76,52,26,43.38,35,19,13,6.5,8.75,0.460526316,6,10,3,2018,45,0,0.17,0,0
3/13/2018,38,35,3,39.25,36,19,17.5,1.5,18,0.947368421,1,11,3,2018,39,0.0054,0.54,0,1
3/15/2018,40,35,5,45.37,26,20,17.5,2.5,13,0.65,3,11,3,2018,46,0,0.27,0,0
3/17/2018,95,54,43,46.99,41,23.75,13.5,10.75,10.25,0.431578947,5,11,3,2018,41,0,0.08,0,0
3/18/2018,80,45,32,42.96,39,20,11.25,8,9.75,0.4875,6,11,3,2018,41,0,0.06,0,0
3/20/2018,26,22,4,38.49,23,13,11,2,11.5,0.884615385,1,12,3,2018,36,0.0001,0.32,0,1
3/22/2018,42,36,6,49.63,32,21,18,3,16,0.761904762,3,12,3,2018,47,0.0028,0.27,1,0
3/24/2018,52,28,24,48.61,29,13,7,6,7.25,0.557692308,5,12,3,2018,49,0,0.21,0,0
3/25/2018,74,34,41,42.3,22,18.5,8.5,10.25,5.5,0.297297297,6,12,3,2018,41,0,0.34,0,0
3/27/2018,37,28,9,40.5,21,18.5,14,4.5,10.5,0.567567568,1,13,3,2018,49,0.0001,0.2,0,1
3/29/2018,22,17,5,50.01,17,11,8.5,2.5,8.5,0.772727273,3,13,3,2018,49,0.0007,0.85,0,1
3/31/2018,48,22,26,51.75,12,12,5.5,6.5,3,0.25,5,13,3,2018,50,0,0.12,0,0
4/1/2018,65,41,24,58.03,29,16.25,10.25,6,7.25,0.446153846,6,13,4,2018,58,0,0.53,0,0
4/3/2018,33,24,9,41.2,27,16.5,12,4.5,13.5,0.818181818,1,14,4,2018,40,0.0082,0.78,0,1
4/5/2018,86,52,34,44.34,37,43,26,17,18.5,0.430232558,3,14,4,2018,44,0,0.32,0,0
4/7/2018,67,33,34,50.05,37,16.75,8.25,8.5,9.25,0.552238806,5,14,4,2018,43,0,0.82,0,0
4/8/2018,113,57,56,43.49,68,28.25,14.25,14,17,0.601769912,6,14,4,2018,43,0,0.38,0,0
4/10/2018,37,37,0,48.32,29,18.5,18.5,0,14.5,0.783783784,1,15,4,2018,52,0.0005,0.8,0,1
4/12/2018,22,22,0,58.95,22,11,11,0,11,1,3,15,4,2018,56,0.0001,0.57,0,1
4/14/2018,105,54,51,75.38,53,26.25,13.5,12.75,13.25,0.504761905,5,15,4,2018,42,0.0001,0.23,0,1
4/15/2018,39,24,15,45.6,24,9.75,6,3.75,6,0.615384615,6,15,4,2018,42,0.0091,1,0,1
4/17/2018,42,39,3,45.74,38,21,19.5,1.5,19,0.904761905,1,16,4,2018,44,0.0003,0.91,0,1
4/19/2018,27,25,2,47.14,24,13.5,12.5,1,12,0.888888889,3,16,4,2018,42,0.0084,0.85,0,1
4/21/2018,43,21,22,60.82,13,10.75,5.25,5.5,3.25,0.302325581,5,16,4,2018,56,0,0.1,0,0
4/22/2018,112,50,62,64.02,47,28,12.5,15.5,11.75,0.419642857,6,16,4,2018,61,0.0001,0.06,0,1
4/24/2018,40,30,10,63.39,29,20,15,5,14.5,0.725,1,17,4,2018,62,0.0002,0.44,0,1
4/26/2018,31,24,7,68.29,24,15.5,12,3.5,12,0.774193548,3,17,4,2018,67,0.0033,0.45,0,1
4/28/2018,64,30,34,65.56,17,16,7.5,8.5,4.25,0.265625,5,17,4,2018,62,0.0061,0.63,0,1
4/29/2018,82,61,21,56.98,24,20.5,15.25,5.25,6,0.292682927,6,17,4,2018,58,0.008,0.85,0,1
5/1/2018,31,23,9,79.5,21,15.5,11.5,4.5,10.5,0.677419355,1,18,5,2018,77,0.0024,0.29,0,1
5/3/2018,19,17,2,90.93,17,9.5,8.5,1,8.5,0.894736842,3,18,5,2018,90,0.0017,0.32,0,1
5/5/2018,50,21,25,75.92,7,12.5,5.25,6.25,1.75,0.14,5,18,5,2018,73,0,0.46,0,0
5/6/2018,63,40,20,63.71,37,15.75,10,5,9.25,0.587301587,6,18,5,2018,63,0.0017,0.94,0,1
5/8/2018,29,15,14,69.66,18,14.5,7.5,7,9,0.620689655,1,19,5,2018,70,0,0.1,0,0
5/10/2018,23,18,5,67.06,18,11.5,9,2.5,9,0.782608696,3,19,5,2018,62,0.0052,0.71,0,1
5/12/2018,36,19,17,63.75,17,9,4.75,4.25,4.25,0.472222222,5,19,5,2018,55,0.0115,1,0,1
5/13/2018,32,18,14,54.12,27,8,4.5,3.5,6.75,0.84375,6,19,5,2018,53,0.0102,1,0,1
5/15/2018,13,10,3,87.64,8,6.5,5,1.5,4,0.615384615,1,20,5,2018,85,0.015,0.66,0,1
5/17/2018,19,15,4,70.75,13,9.5,7.5,2,6.5,0.684210526,3,20,5,2018,66,0.0156,0.74,0,1
5/19/2018,27,13,14,56.29,16,6.75,3.25,3.5,4,0.592592593,5,20,5,2018,56,0.0204,1,0,1
5/20/2018,96,49,47,81.05,33,24,12.25,11.75,8.25,0.34375,6,20,5,2018,81,0.001,0.78,0,1
5/22/2018,22,20,2,65.37,14,11,10,1,7,0.636363636,1,21,5,2018,60,0.0135,0.7,0,1
5/24/2018,13,7,6,81.6,7,6.5,3.5,3,3.5,0.538461538,3,21,5,2018,80,0.0003,0.01,0,1
5/26/2018,56,7,49,87.37,5,14,1.75,12.25,1.25,0.089285714,5,21,5,2018,84,0.0005,0.21,0,1
5/27/2018,35,15,20,75.26,13,8.75,3.75,5,3.25,0.371428571,6,21,5,2018,63,0.0163,0.88,0,1
5/29/2018,21,21,0,85.19,21,10.5,10.5,0,10.5,1,1,22,5,2018,84,0,0.54,0,0
5/31/2018,30,27,3,67.67,14,15,13.5,1.5,7,0.466666667,3,22,5,2018,67,0.0016,0.99,0,1
6/2/2018,71,24,47,84.41,16,17.75,6,11.75,4,0.225352113,5,22,6,2018,86,0.0031,0.44,0,1
6/3/2018,112,26,86,70.36,36,28,6.5,21.5,9,0.321428571,6,22,6,2018,62,0.0076,0.95,0,1
6/5/2018,21,21,0,73.33,19,10.5,10.5,0,9.5,0.904761905,1,23,6,2018,74,0.0002,0.38,0,1
6/9/2018,110,37,70,80,18,27.5,9.25,17.5,4.5,0.163636364,5,23,6,2018,78,0,0.22,0,0
6/10/2018,93,44,48,70.04,41,23.25,11,12,10.25,0.440860215,6,23,6,2018,71,0.0009,0.85,0,1
6/12/2018,12,8,4,72.77,12,6,4,2,6,1,1,24,6,2018,73,0,0.08,0,0
6/14/2018,47,35,12,83.99,34,23.5,17.5,6,17,0.723404255,3,24,6,2018,84,0.0008,0.21,0,1
6/16/2018,103,25,78,82.27,22,25.75,6.25,19.5,5.5,0.213592233,5,24,6,2018,79,0.0006,0.11,0,1
6/17/2018,96,32,62,87.65,30,24,8,15.5,7.5,0.3125,6,24,6,2018,85,0.0003,0.09,0,1
6/19/2018,31,17,14,86.87,18,15.5,8.5,7,9,0.580645161,1,25,6,2018,87,0.002,0.39,0,1
6/21/2018,25,21,4,83.12,21,12.5,10.5,2,10.5,0.84,3,25,6,2018,83,0.0109,0.63,0,1
6/23/2018,40,17,23,76.11,16,10,4.25,5.75,4,0.4,5,25,6,2018,65,0.0023,0.97,0,1
6/24/2018,57,26,31,83.15,21,14.25,6.5,7.75,5.25,0.368421053,6,25,6,2018,81,0.0043,0.8,0,1
6/26/2018,53,43,10,75.09,31,26.5,21.5,5,15.5,0.58490566,1,26,6,2018,76,0,0.17,0,0
6/28/2018,39,23,16,81.7,16,19.5,11.5,8,8,0.41025641,3,26,6,2018,79,0.0228,0.77,0,1
6/30/2018,54,7,37,91.56,6,13.5,1.75,9.25,1.5,0.111111111,5,26,6,2018,87,0,0.06,0,0
7/1/2018,54,21,33,94.52,17,13.5,5.25,8.25,4.25,0.314814815,6,26,7,2018,94,0,0.13,0,0
7/3/2018,22,8,14,89.92,6,11,4,7,3,0.272727273,1,27,7,2018,85,0.0123,0.27,0,1
7/5/2018,39,16,23,87.69,12,19.5,8,11.5,6,0.307692308,3,27,7,2018,87,0,0.42,0,0
7/7/2018,120,33,81,74.91,12,30,8.25,20.25,3,0.1,5,27,7,2018,74,0,0.04,0,0
7/8/2018,84,15,61,80.53,6,21,3.75,15.25,1.5,0.071428571,6,27,7,2018,78,0,0.03,0,0
7/10/2018,27,16,11,91,16,13.5,8,5.5,8,0.592592593,1,28,7,2018,92,0,0.06,0,0
7/12/2018,47,37,9,82.73,31,23.5,18.5,4.5,15.5,0.659574468,3,28,7,2018,81,0.0013,0.53,0,1
7/14/2018,56,22,33,88.32,9,14,5.5,8.25,2.25,0.160714286,5,28,7,2018,85,0,0.23,0,0
7/15/2018,87,32,52,83.21,38,21.75,8,13,9.5,0.436781609,6,28,7,2018,73,0.0237,0.58,0,1
7/17/2018,12,4,8,86.4,4,6,2,4,2,0.333333333,1,29,7,2018,73,0.0236,0.59,0,1
7/19/2018,61,14,47,80.27,17,30.5,7,23.5,8.5,0.278688525,3,29,7,2018,81,0,0.02,0,0
7/21/2018,113,23,88,75.52,18,28.25,5.75,22,4.5,0.159292035,5,29,7,2018,76,0.0086,0.57,0,1
7/22/2018,80,25,55,81.23,11,20,6.25,13.75,2.75,0.1375,6,29,7,2018,78,0.0356,0.94,0,1
7/24/2018,32,13,19,82.15,18,16,6.5,9.5,9,0.5625,1,30,7,2018,82,0.0021,0.8,0,1
7/26/2018,57,30,27,85.25,27,28.5,15,13.5,13.5,0.473684211,3,30,7,2018,84,0.0028,0.64,0,1
7/28/2018,74,25,48,84.6,18,18.5,6.25,12,4.5,0.243243243,5,30,7,2018,82,0.0007,0.47,0,1
7/29/2018,87,32,48,80.74,19,21.75,8,12,4.75,0.218390805,6,30,7,2018,80,0,0.36,0,0
7/31/2018,31,16,15,79.72,22,15.5,8,7.5,11,0.709677419,1,31,7,2018,80,0,0.38,0,0
