,total_visitors,total_returns,total_new,Temperature,from_11201
2015-08-20,37,0,37,82,0
2015-08-22,80,0,80,86,0
2015-08-23,95,3,92,83,0
2015-08-26,42,0,42,82,0
2015-08-28,16,0,16,82,0
2015-08-29,104,4,100,84,0
2015-08-30,70,5,65,90,0
2015-09-10,29,2,27,77,0
2015-09-12,91,4,87,76,0
2015-09-13,94,11,83,79,0
2015-09-17,24,7,17,86,0
2015-09-19,94,4,90,77,0
2015-09-20,71,15,56,76,0
2015-09-24,33,2,31,82,0
2015-09-26,56,10,46,72,0
2015-09-27,74,4,70,70,0
2015-10-01,35,7,28,64,0
2015-10-03,44,13,31,49,0
2015-10-04,99,12,87,64,0
2015-10-08,29,4,25,70,0
2015-10-10,82,10,72,64,0
2015-10-11,80,15,65,66,0
2015-10-15,77,15,62,60,0
2015-10-18,77,16,61,50,0
2015-10-22,18,0,18,76,0
2015-10-24,82,12,70,42,0
2015-10-29,8,6,2,68,0
2015-10-31,44,7,37,55,0
2015-11-01,66,13,53,64,0
2015-11-05,49,20,29,66,0
2015-11-07,121,13,108,64,0
2015-11-08,94,22,72,60,0
2015-11-12,9,3,6,59,0
2015-11-14,75,13,62,47,0
2015-11-15,110,8,102,61,0
2015-11-19,30,12,18,61,0
2015-11-21,83,21,62,52,0
2015-11-22,56,13,43,53,0
2015-11-28,67,14,53,63,0
2015-11-29,93,18,75,48,0
2015-12-03,11,7,4,50,0
2015-12-05,46,9,37,42,0
2015-12-06,84,28,56,52,0
2015-12-10,43,26,17,59,0
2015-12-12,93,17,76,H 63 L 55,0
2015-12-13,115,34,81,H 70,0
2015-12-17,14,12,2,57,0
2015-12-19,29,6,23,42,0
2015-12-20,79,27,52,45,0
2016-01-07,20,3,17,46,0
2016-01-09,79,26,53,46,0
2016-01-10,91,33,58,59,0
2016-01-14,35,22,13,39,0
2016-01-16,112,48,64,52,0
2016-01-17,52,14,38,37,0
2016-01-18,11,2,9,27,0
2016-01-21,34,20,14,33,0
2016-01-26,2,1,1,46,0
2016-01-28,21,11,10,40,0
2016-01-30,70,35,35,39,0
2016-01-31,100,39,61,48,0
2016-02-02,18,9,9,48,0
2016-02-04,29,20,9,52,0
2016-02-06,102,37,65,40,0
2016-02-07,83,22,61,46,31
2016-02-08,17,6,11,34,7
2016-02-09,11,3,8,36,8
2016-02-11,16,13,3,29,14
2016-02-13,42,9,32,25,22
2016-02-14,14,3,11,15,3
2016-02-16,9,3,6,55,9
2016-02-18,85,39,46,38,74
2016-02-20,127,33,94,58,69
2016-02-21,135,21,114,54,41
2016-02-23,4,4,0,37,4
2016-02-25,26,18,8,46,19
2016-02-27,107,29,78,39,37
2016-02-28,182,37,145,62,59
2016-03-01,22,15,7,46,16
2016-03-03,44,24,20,40,33
2016-03-05,78,31,47,41,30
2016-03-06,110,40,70,38,44
2016-03-08,17,9,0,57,4
2016-03-10,35,13,17,75,24
2016-03-12,99,19,80,56,29
2016-03-13,123,20,103,60,38
2016-03-15,22,10,12,54,0
2016-03-17,22,14,8,59,18
2016-03-19,119,48,68,54,58
2016-03-20,84,23,57,57,44
2016-03-22,32,26,6,48,25
2016-03-24,42,21,21,54,24
2016-03-26,93,28,65,52,18
2016-03-27,120,40,80,48,44
2016-03-29,12,8,4,55,12
2016-03-31,45,20,25,66,28
2016-04-02,74,29,45,54,34
2016-04-03,75,31,44,39,41
2016-04-05,14,8,6,44,10
2016-04-07,23,22,1,55,23
2016-04-09,9,6,3,38,7
2016-04-10,100,47,53,48,60
2016-04-12,19,15,4,54,17
2016-04-14,29,17,11,54,20
2016-04-16,119,31,88,64,45
2016-04-17,90,24,66,70,40
2016-04-19,14,10,4,70,13
2016-04-21,14,10,4,72,9
2016-04-23,362,29,333,75,100
2016-04-24,95,20,75,62,52
2016-04-26,89,82,7,54,20
2016-04-28,52,10,42,57,17
2016-04-30,119,46,73,60,44
2016-05-01,46,18,28,52,42
2016-05-03,26,21,5,50,24
2016-05-05,36,36,0,57,36
2016-05-07,69,21,48,,20
2016-05-08,84,31,53,64,39
2016-05-10,25,17,8,59,23
2016-05-12,18,13,5,76,14
2016-05-14,71,25,46,71,54
2016-05-15,95,24,71,57,39
2016-05-17,32,26,6,60,27
2016-05-19,47,19,28,64,17
2016-05-21,76,40,36,61,43
2016-05-22,69,18,51,70,33
2016-05-24,2,2,0,70,2
2016-05-25,2,2,0,,2
2016-05-26,49,24,25,90,25
2016-05-28,66,4,62,,4
2016-05-29,105,9,96,,21
2016-05-31,21,14,7,,14
2016-06-02,35,11,24,72,13
2016-06-04,148,26,122,80,35
2016-06-05,59,31,28,70,43
2016-06-09,59,19,40,70,24
2016-06-11,77,32,45,82,23
2016-06-12,129,26,103,79,28
2016-06-14,32,18,14,75,21
2016-06-16,42,20,22,72,32
2016-06-18,135,27,104,82,30
2016-06-19,131,17,114,,26
2016-06-21,24,10,14,,12
2016-06-23,27,7,20,,14
2016-06-25,74,15,59,81,19
2016-06-26,176,30,146,81,22
2016-06-28,39,19,20,77,28
2016-06-30,43,21,22,,13
2016-07-02,94,12,82,,11
2016-07-03,118,15,103,81,27
2016-07-05,52,13,39,87,15
2016-07-07,20,7,13,90,14
2016-07-09,76,24,52,73,24
2016-07-10,132,12,120,81,23
2016-07-12,42,11,31,83,17
2016-07-14,16,0,16,83,2
2016-07-16,107,21,86,90,24
2016-07-17,78,5,74,90,5
2016-07-19,38,9,29,90,13
2016-07-21,37,17,20,90,17
2016-07-23,53,14,39,93,15
2016-07-24,72,21,51,90,13
2016-07-26,22,5,17,95,7
2016-07-28,50,20,30,95,19
2016-07-30,78,9,69,80,20
2016-07-31,88,23,65,76,32
2016-08-02,77,30,47,78,33
2016-08-04,44,6,38,78,12
2016-08-06,73,17,56,84,23
2016-08-07,105,32,73,90,38
2016-08-09,48,9,39,90,17
2016-08-11,15,4,11,91,6
2016-08-13,63,11,52,91,9
2016-08-14,63,20,43,95,18
2016-08-16,60,24,36,88,25
2016-08-18,55,37,18,88,38
2016-08-20,86,30,56,80,25
2016-08-21,113,24,89,88,26
2016-08-23,52,21,31,84,23
2016-08-25,66,16,50,84,25
2016-08-27,73,44,29,84,31
2016-08-28,115,39,76,85,31
2016-08-30,65,28,37,87,34
2016-09-01,30,18,12,79,21
2016-09-03,105,31,74,74,32
2016-09-04,128,24,104,74,28
2016-09-06,61,23,38,80,26
2016-09-08,49,29,20,88,31
2016-09-10,112,23,89,88,26
2016-09-11,103,48,55,81,34
2016-09-13,41,37,4,80,35
2016-09-17,92,30,62,75,15
2016-09-18,83,24,59,81,35
2016-09-20,46,35,10,79,40
2016-09-22,32,17,15,83,19
2016-09-24,74,30,44,61,36
2016-09-25,76,33,43,73,25
2016-09-27,40,29,11,72,36
2016-09-29,18,15,3,,17
2016-10-01,65,21,44,,21
2016-10-02,107,30,77,65,46
2016-10-04,51,29,20,71,34
2016-10-06,29,22,7,72,25
2016-10-08,51,18,33,70,19
2016-10-09,51,27,24,55,31
2016-10-11,22,17,5,,22
2016-10-13,28,17,11,,26
2016-10-15,83,28,55,62,25
2016-10-16,113,45,68,65,48
2016-10-18,34,27,7,82,30
2016-10-20,53,24,29,,25
2016-10-22,50,21,29,46,23
2016-10-23,86,15,71,57,21
2016-10-25,35,32,3,54,33
2016-10-27,25,21,4,,21
2016-10-29,50,23,27,54,23
2016-10-30,83,16,67,73,20
2016-11-01,38,33,5,60,36
2016-11-03,18,13,5,70,13
2016-11-05,79,18,61,59,20
2016-11-06,87,52,35,58,55
2016-11-08,64,42,22,62,48
2016-11-10,29,23,6,55,25
2016-11-12,80,26,54,49,31
2016-11-13,114,38,76,58,42
2016-11-15,34,24,10,52,32
2016-11-17,27,20,7,61,19
2016-11-19,128,54,74,60,56
2016-11-20,11,5,6,41,5
2016-11-22,24,16,8,42,17
2016-11-29,9,9,0,58,9
2016-12-01,17,17,0,49,14
2016-12-03,15,10,5,47,11
2016-12-04,53,33,20,46,28
2016-12-06,28,21,7,45,24
2016-12-08,22,17,5,41,18
2016-12-10,46,32,14,36,26
2016-12-11,55,13,42,33,13
2016-12-13,13,13,0,44,11
2016-12-15,8,2,6,24,2
2016-12-17,12,10,2,34,10
2016-12-18,51,29,20,57,32
2016-12-20,13,9,4,33,10
2016-12-22,39,21,18,45,28
2017-01-03,11,7,4,44,11
2017-01-05,15,9,6,32,13
2017-01-07,15,13,2,21,11
2017-01-08,11,7,4,22,6
2017-01-10,20,20,0,35,20
2017-01-12,34,26,8,62,26
2017-01-14,37,13,24,33,19
2017-01-15,68,32,36,37,41
2017-01-17,14,12,2,40,14
2017-01-19,40,34,6,44,34
2017-01-21,68,19,49,44,25
2017-01-22,43,15,28,43,18
2017-01-24,21,16,5,39,21
2017-01-26,36,26,10,47,28
2017-01-28,67,38,27,37,23
2017-01-29,80,37,43,41,47
2017-01-31,10,10,0,30,10
